"FK Name","Parent table","Parent field","Parent column_id","Referenced table","Referenced field","Referenced column_id","term_category"
"FK_Membership_JointMemberId_To_Contact","Membership","JointMemberId","13","Contact","Id","1",
"FK_Membership_JoinedByMemberId_To_Contact","Membership","JoinedByMemberId","14","Contact","Id","1",
"FK_MembershipDuesPayment_To_Membership","MembershipDuesPayment","MembershipId","2","Membership","Id","1",
"FK_MembershipDuesPayment_To_Contact","MembershipDuesPayment","ReceivedFromId","3","Contact","Id","1",
"FK_MembershipDuesPayment_TypeOfPayment_To_DictionaryItem","MembershipDuesPayment","TypeOfPaymentId","8","DictionaryItem","Id","1",
"FK_MembershipDuesPayment_To_MembershipType","MembershipDuesPayment","MembershipTypeId","10","MembershipType","Id","1",
"FK_MembershipDuesPayment_To_MembershipSubType","MembershipDuesPayment","MembershipSubtypeId","11","MembershipSubType","Id","1",
"FK_MembershipDuesPayment_RevenueRestriction_To_DictionaryItem","MembershipDuesPayment","RevenueRestrictionId","12","DictionaryItem","Id","1",
"FK_MembershipDuesPayment_RevenueSource_To_DictionaryItem","MembershipDuesPayment","RevenueSourceId","13","DictionaryItem","Id","1",
"FK_MuseumBackup_To_Attachment","MuseumBackup","AttachmentId","3","Attachment","Id","1",
"FK_CatalogItemMusicTrack_CatalogItemMusicId_To_CatalogItemMusic","MusicTrack","CatalogItemMusicId","9","CatalogItemMusic","CatalogItemId","1",
"FK_CatalogItemOralHistory_To_CatalogItem","OralHistory","CatalogItemId","1","CatalogItem","Id","1",
"FK_OralHistory_Interviewer_To_DictionaryItem","OralHistory","InterviewerId","4","DictionaryItem","Id","1",
"FK_OralHistory_Narrator_To_DictionaryItem","OralHistory","NarratorId","8","DictionaryItem","Id","1",
"FK_OralHistory_RecordingMedia_To_DictionaryItems","OralHistory","RecordingMediaId","9","DictionaryItem","Id","1",
"FK_OralHistory_Transcriptionist_To_DictionaryItem","OralHistory","TranscriptionistId","12","DictionaryItem","Id","1",
"FK_OralHistoryRecording_OralHistory_To_OralHistory","OralHistoryRecording","OralHistoryId","6","OralHistory","CatalogItemId","1",
"FK_OutgoingLoanDocuments_To_Loans","OutgoingLoanDocuments","LoanId","2","Loan","Id","1",
"FK_OutgoingLoanDocuments_To_Documents","OutgoingLoanDocuments","DocumentId","3","Document","Id","1",
"FK_Person_CreatedByUserId","Person","CreatedByUserId","15","User","UserId","1",
"FK_Person_LastModifiedByUserId","Person","LastModifiedByUserId","16","User","UserId","1",
"FK_PersonAttachment_To_Person","PersonAttachment","PersonId","2","Person","Id","1",
"FK_PersonAttachment_To_Attachment","PersonAttachment","AttachmentId","3","Attachment","Id","1",
"FK_PersonBiographicalInformation_Id_To_Person","PersonBiographicalInformation","Id","1","Person","Id","1",
